id,name,track_href,external_url,artist_id,artist_name,album_id,track_number,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5ww2BF9slyYgNOk37BlC4u,5ww2BF9slyYgNOk37BlC4u,https://api.spotify.com/v1/tracks/5ww2BF9slyYgNOk37BlC4u,https://open.spotify.com/track/5ww2BF9slyYgNOk37BlC4u,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,1TpGeAzOJgAGdPkcWl95r2,1,0.583,https://api.spotify.com/v1/audio-analysis/5ww2BF9slyYgNOk37BlC4u,0.835,162638,0.679,1.98e-06,0.218,-5.329,0,0.0364,124.98,4,0.85
53tfEupEzQRtVFOeZvk7xq,53tfEupEzQRtVFOeZvk7xq,https://api.spotify.com/v1/tracks/53tfEupEzQRtVFOeZvk7xq,https://open.spotify.com/track/53tfEupEzQRtVFOeZvk7xq,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,3zbiiu3JTibw0esC7eoMXr,17,0.146,https://api.spotify.com/v1/audio-analysis/53tfEupEzQRtVFOeZvk7xq,0.914,156788,0.622,1.68e-05,0.0632,-6.538,1,0.0892,130.04,4,0.77
609E1JCInJncactoMmkDon,609E1JCInJncactoMmkDon,https://api.spotify.com/v1/tracks/609E1JCInJncactoMmkDon,https://open.spotify.com/track/609E1JCInJncactoMmkDon,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,50uChhk7AKkzDKytDixjYW,1,0.736,https://api.spotify.com/v1/audio-analysis/609E1JCInJncactoMmkDon,0.768,194543,0.644,0.000837,0.173,-6.671,0,0.136,95.05,4,0.53
4h9wh7iOZ0GGn8QVp4RAOB,4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,04PEOM6kIEeq9lRp1asNP2,1,0.0826,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,0.704,148486,0.797,0.000745,0.0546,-5.927,1,0.0475,139.994,4,0.825
7aRCf5cLOFN1U7kvtChY1G,7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G,3TVXtAsR1Inumwj472S9r4,Drake,67WUCOjyl44d8fAFzHONjW,1,0.0603,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,0.817,272113,0.44,1.42e-06,0.33,-8.482,0,0.0734,142.024,4,0.544
1Qrg8KqiBpW07V7PNxwwwL,1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,7tYKF4w9nC0nq9CsPZTHyP,SZA,1nrVofqDRs7cpWXJ49qTnP,2,0.0521,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,0.644,153947,0.735,0.144,0.161,-5.747,1,0.0391,88.98,4,0.418
1bDbXMyjaUIooNwFE9wn0N,1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N,3TVXtAsR1Inumwj472S9r4,Drake,5MS3MvWHJ3lOZPLiMxzOU6,1,0.0503,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,0.561,239360,0.52,1.86e-06,0.355,-9.342,0,0.244,153.15,3,0.424
1IcR6RlgvDczfvoWJSSY2A,1IcR6RlgvDczfvoWJSSY2A,https://api.spotify.com/v1/tracks/1IcR6RlgvDczfvoWJSSY2A,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A,4sj6D0zlMOl25nprDJBiU9,Andy Williams,30eO7X0doSEWKhDLAFLMuW,4,0.871,https://api.spotify.com/v1/audio-analysis/1IcR6RlgvDczfvoWJSSY2A,0.234,151000,0.526,2.34e-06,0.122,-11.656,1,0.0411,201.739,3,0.649
1xwAWUI6Dj0WGC3KiUPN0O,1xwAWUI6Dj0WGC3KiUPN0O,https://api.spotify.com/v1/tracks/1xwAWUI6Dj0WGC3KiUPN0O,https://open.spotify.com/track/1xwAWUI6Dj0WGC3KiUPN0O,06HL4z0CvFAxyc27GXpf02,Taylor Swift,151w1FgRZfnKZA9FEcg9Z3,8,0.173,https://api.spotify.com/v1/audio-analysis/1xwAWUI6Dj0WGC3KiUPN0O,0.798,164801,0.277,5.25e-05,0.121,-11.096,0,0.39,79.846,4,0.163
0mBP9X2gPCuapvpZ7TGDk3,0mBP9X2gPCuapvpZ7TGDk3,https://api.spotify.com/v1/tracks/0mBP9X2gPCuapvpZ7TGDk3,https://open.spotify.com/track/0mBP9X2gPCuapvpZ7TGDk3,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,4LyiYe4wZ6XwzUne79hidF,1,0.619,https://api.spotify.com/v1/audio-analysis/0mBP9X2gPCuapvpZ7TGDk3,0.881,154487,0.592,1.32e-05,0.0901,-4.898,1,0.0324,101.058,4,0.719
4D7BCuvgdJlYvlX5WlN54t,4D7BCuvgdJlYvlX5WlN54t,https://api.spotify.com/v1/tracks/4D7BCuvgdJlYvlX5WlN54t,https://open.spotify.com/track/4D7BCuvgdJlYvlX5WlN54t,06HL4z0CvFAxyc27GXpf02,Taylor Swift,151w1FgRZfnKZA9FEcg9Z3,5,0.401,https://api.spotify.com/v1/audio-analysis/4D7BCuvgdJlYvlX5WlN54t,0.696,194207,0.396,5.2e-06,0.125,-10.289,1,0.0656,120.041,4,0.38
3rWDp9tBPQR9z6U5YyRSK4,3rWDp9tBPQR9z6U5YyRSK4,https://api.spotify.com/v1/tracks/3rWDp9tBPQR9z6U5YyRSK4,https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4,06HL4z0CvFAxyc27GXpf02,Taylor Swift,151w1FgRZfnKZA9FEcg9Z3,6,0.69,https://api.spotify.com/v1/audio-analysis/3rWDp9tBPQR9z6U5YyRSK4,0.643,174783,0.363,5.17e-05,0.115,-11.738,1,0.0767,139.865,4,0.23
