id,name,track_href,external_url,artist_id,artist_name,album_id,track_number,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2GMxB5a49rV0XAdqRN85zo,Giddy,https://api.spotify.com/v1/tracks/2GMxB5a49rV0XAdqRN85zo,https://open.spotify.com/track/2GMxB5a49rV0XAdqRN85zo,5R7AMwDeroq6Ls0COQYpS4,Kep1er,7LmVnv26vUmzSfnTjeF3AD,1,0.0371,https://api.spotify.com/v1/audio-analysis/2GMxB5a49rV0XAdqRN85zo,0.758,184240,0.87,2.27e-06,0.366,-2.983,1,0.124,104.949,4,0.769
4245mprsIXRpaSg9U89ow1,LVLY,https://api.spotify.com/v1/tracks/4245mprsIXRpaSg9U89ow1,https://open.spotify.com/track/4245mprsIXRpaSg9U89ow1,5R7AMwDeroq6Ls0COQYpS4,Kep1er,7LmVnv26vUmzSfnTjeF3AD,2,0.177,https://api.spotify.com/v1/audio-analysis/4245mprsIXRpaSg9U89ow1,0.73,199813,0.905,0,0.0891,-2.174,0,0.0943,102.007,4,0.846
1ns5ZeDUT2RJeJMcc2xlv3,Back to the City,https://api.spotify.com/v1/tracks/1ns5ZeDUT2RJeJMcc2xlv3,https://open.spotify.com/track/1ns5ZeDUT2RJeJMcc2xlv3,5R7AMwDeroq6Ls0COQYpS4,Kep1er,7LmVnv26vUmzSfnTjeF3AD,3,0.0081,https://api.spotify.com/v1/audio-analysis/1ns5ZeDUT2RJeJMcc2xlv3,0.53,200000,0.844,0,0.475,-1.839,1,0.0629,176.927,4,0.459
4HzoJdtNIjzsBtmR5kAeLM,Why,https://api.spotify.com/v1/tracks/4HzoJdtNIjzsBtmR5kAeLM,https://open.spotify.com/track/4HzoJdtNIjzsBtmR5kAeLM,5R7AMwDeroq6Ls0COQYpS4,Kep1er,7LmVnv26vUmzSfnTjeF3AD,4,0.0956,https://api.spotify.com/v1/audio-analysis/4HzoJdtNIjzsBtmR5kAeLM,0.782,181080,0.838,1.78e-06,0.036,-3.004,0,0.0582,108.532,4,0.855
2get71P0NHXhoQdMAfXbZY,Happy Ending,https://api.spotify.com/v1/tracks/2get71P0NHXhoQdMAfXbZY,https://open.spotify.com/track/2get71P0NHXhoQdMAfXbZY,5R7AMwDeroq6Ls0COQYpS4,Kep1er,7LmVnv26vUmzSfnTjeF3AD,5,0.298,https://api.spotify.com/v1/audio-analysis/2get71P0NHXhoQdMAfXbZY,0.641,178173,0.656,0,0.223,-3.989,1,0.0737,103.916,4,0.705
6jByTns2XgYVK54WUwCMpQ,From Winter to Spring - intro,https://api.spotify.com/v1/tracks/6jByTns2XgYVK54WUwCMpQ,https://open.spotify.com/track/6jByTns2XgYVK54WUwCMpQ,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,00A1XYsx9tgJGnIHVn1X9u,1,0.862,https://api.spotify.com/v1/audio-analysis/6jByTns2XgYVK54WUwCMpQ,0.303,24692,0.825,0.331,0.953,-14.485,0,0.441,115.904,4,0.0379
50g6M02xXtsgssyrJdFCLQ,Star Wind Flower Sun,https://api.spotify.com/v1/tracks/50g6M02xXtsgssyrJdFCLQ,https://open.spotify.com/track/50g6M02xXtsgssyrJdFCLQ,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,00A1XYsx9tgJGnIHVn1X9u,2,0.854,https://api.spotify.com/v1/audio-analysis/50g6M02xXtsgssyrJdFCLQ,0.53,223127,0.435,0,0.112,-5.585,1,0.0337,122.341,4,0.206
57xfMWU6JCoPCTcACVZRIN,Starry Night,https://api.spotify.com/v1/tracks/57xfMWU6JCoPCTcACVZRIN,https://open.spotify.com/track/57xfMWU6JCoPCTcACVZRIN,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,00A1XYsx9tgJGnIHVn1X9u,3,0.656,https://api.spotify.com/v1/audio-analysis/57xfMWU6JCoPCTcACVZRIN,0.581,211237,0.773,0,0.112,-3.302,0,0.0499,124.138,4,0.507
5ubWlNJCgj7XHWA6eAX8dJ,Be Calm,https://api.spotify.com/v1/tracks/5ubWlNJCgj7XHWA6eAX8dJ,https://open.spotify.com/track/5ubWlNJCgj7XHWA6eAX8dJ,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,00A1XYsx9tgJGnIHVn1X9u,4,0.79,https://api.spotify.com/v1/audio-analysis/5ubWlNJCgj7XHWA6eAX8dJ,0.611,208735,0.481,0,0.15,-5.137,1,0.0329,121.83,4,0.252
474y4rP0NiF0prRDsXL7Zg,Rude Boy,https://api.spotify.com/v1/tracks/474y4rP0NiF0prRDsXL7Zg,https://open.spotify.com/track/474y4rP0NiF0prRDsXL7Zg,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,00A1XYsx9tgJGnIHVn1X9u,5,0.273,https://api.spotify.com/v1/audio-analysis/474y4rP0NiF0prRDsXL7Zg,0.645,190319,0.872,0,0.0644,-4.223,0,0.0692,145.947,4,0.841
1CQAYSVkKt6itGW0damaoJ,Spring Fever,https://api.spotify.com/v1/tracks/1CQAYSVkKt6itGW0damaoJ,https://open.spotify.com/track/1CQAYSVkKt6itGW0damaoJ,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,00A1XYsx9tgJGnIHVn1X9u,6,0.846,https://api.spotify.com/v1/audio-analysis/1CQAYSVkKt6itGW0damaoJ,0.425,228618,0.45,0,0.0914,-4.277,0,0.0517,179.595,4,0.522
0UjE0j9KOcI3aZbivMRE3K,Paint Me,https://api.spotify.com/v1/tracks/0UjE0j9KOcI3aZbivMRE3K,https://open.spotify.com/track/0UjE0j9KOcI3aZbivMRE3K,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,00A1XYsx9tgJGnIHVn1X9u,7,0.707,https://api.spotify.com/v1/audio-analysis/0UjE0j9KOcI3aZbivMRE3K,0.445,218917,0.462,0,0.174,-4.205,0,0.0358,128.229,4,0.245
74og0XDxLlJkSsFSZU37Tg,SUPER,https://api.spotify.com/v1/tracks/74og0XDxLlJkSsFSZU37Tg,https://open.spotify.com/track/74og0XDxLlJkSsFSZU37Tg,6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR,3qyzxavqOfixEPDfFCEMlH,1,0.261,https://api.spotify.com/v1/audio-analysis/74og0XDxLlJkSsFSZU37Tg,0.802,89947,0.859,0,0.341,-2.527,0,0.1,110.061,4,0.324
0awQIOFGtg18LCJ0WhFf8s,House Party,https://api.spotify.com/v1/tracks/0awQIOFGtg18LCJ0WhFf8s,https://open.spotify.com/track/0awQIOFGtg18LCJ0WhFf8s,6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR,3qyzxavqOfixEPDfFCEMlH,2,0.0797,https://api.spotify.com/v1/audio-analysis/0awQIOFGtg18LCJ0WhFf8s,0.489,241453,0.876,0,0.139,-3.279,1,0.125,114.959,4,0.833
2UT7Ba7JX3GXVuy4fVYAL2,Burn The Floor,https://api.spotify.com/v1/tracks/2UT7Ba7JX3GXVuy4fVYAL2,https://open.spotify.com/track/2UT7Ba7JX3GXVuy4fVYAL2,6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR,3qyzxavqOfixEPDfFCEMlH,3,0.296,https://api.spotify.com/v1/audio-analysis/2UT7Ba7JX3GXVuy4fVYAL2,0.622,205013,0.741,0,0.155,-4.772,0,0.0593,120.011,4,0.513
6sFwPBpeRriLHP6klr22Tv,Paradox,https://api.spotify.com/v1/tracks/6sFwPBpeRriLHP6klr22Tv,https://open.spotify.com/track/6sFwPBpeRriLHP6klr22Tv,6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR,3qyzxavqOfixEPDfFCEMlH,4,0.0144,https://api.spotify.com/v1/audio-analysis/6sFwPBpeRriLHP6klr22Tv,0.684,196840,0.913,0.000171,0.337,-4.489,1,0.0567,103.974,4,0.599
